Nama Kabupaten,latitude,longitude
KABUPATEN KONAWE SELATAN,-4.2027915,122.4467238
KABUPATEN BOMBANA,-4.6543462,121.9017954
KABUPATEN WAKATOBI,-5.3264442,123.5951925
KABUPATEN KOLAKA UTARA,-3.1347227,121.1710389
KABUPATEN BUTON UTARA,-4.7023424,123.0338767
KABUPATEN KONAWE UTARA,-3.3803291,122.0837445
KABUPATEN KOLAKA TIMUR,-4.2279,121.9018
KABUPATEN KONAWE KEPULAUAN,-4.1361,123.1239
KOTA KENDARI,-3.972201,122.5149028
KOTA BAUBAU,-5.477,122.6166
KABUPATEN BOALEMO,0.7013419,122.2653887
KABUPATEN GORONTALO,0.5333333,123.0666667
KABUPATEN POHUWATO,0.7055278,121.7195459
KABUPATEN BONE BOLANGO,0.5657885,123.3486147
KABUPATEN GORONTALO UTARA,0.9252647,122.4920088
KOTA GORONTALO,0.5333333,123.0666667
KABUPATEN MAJENE,-3.0297251,118.9062794
KABUPATEN POLEWALI MANDAR,-3.3419323,119.1390642
KABUPATEN MAMASA,-2.960135,119.368202
KABUPATEN MAMUJU,-2.7293364,118.9295737
KABUPATEN MAMUJU UTARA,-1.5264542,119.5107708
KABUPATEN MAMUJU TENGAH,-1.9354,119.5108
KABUPATEN MALUKU TENGGARA BARAT,-7.5322642,131.3611121
KABUPATEN MALUKU TENGGARA,-7.5322642,131.3611121
KABUPATEN MALUKU TENGAH,-3.0166501,129.4864411
KABUPATEN BURU,-3.3927754,126.7819505
KABUPATEN KEPULAUAN ARU,-6.1946502,134.5501935
KABUPATEN SERAM BAGIAN BARAT,-3.1271575,128.4008357
KABUPATEN SERAM BAGIAN TIMUR,-3.4150761,130.390488
KABUPATEN MALUKU BARAT DAYA,-7.7851588,126.3498097
KABUPATEN BURU SELATAN,-3.3927754,126.7819505
KOTA AMBON,-3.65607,128.166419
KOTA TUAL,-5.640851,132.7475093
KABUPATEN HALMAHERA BARAT,1.3121235,128.4849923
KABUPATEN HALMAHERA TENGAH,1.3121235,128.4849923
KABUPATEN KEPULAUAN SULA,-1.8666667,125.3666667
KABUPATEN HALMAHERA SELATAN,1.3121235,128.4849923
KABUPATEN HALMAHERA UTARA,1.3121235,128.4849923
KABUPATEN HALMAHERA TIMUR,1.3121235,128.4849923
KABUPATEN PULAU MOROTAI,2.3657,128.4008
KABUPATEN PULAU TALIABU,-1.8268,124.7741
KOTA TERNATE,0.7833333,127.3666667
KOTA TIDORE KEPULAUAN,0.6833333,127.4
KABUPATEN FAKFAK,-2.885237,132.2658282
KABUPATEN KAIMANA,-3.660925,133.774506
KABUPATEN TELUK WONDAMA,-2.8551699,134.3236557
KABUPATEN TELUK BINTUNI,-1.9056848,133.329466
KABUPATEN MANOKWARI,-0.8614531,134.0620421
KABUPATEN SORONG SELATAN,-0.8666667,131.25
KABUPATEN SORONG,-0.8666667,131.25
KABUPATEN RAJA AMPAT,-1.0915151,130.8778586
KABUPATEN TAMBRAUW,-0.781856,132.3938375
KABUPATEN MAYBRAT,-1.2971,132.3151
KABUPATEN MANOKWARI SELATAN,-0.999,133.0195
KABUPATEN PEGUNUNGAN ARFAK,-1.1555,133.7142
KOTA SORONG,-0.8666667,131.25
KABUPATEN MERAUKE,-8.4960406,140.3945527
KABUPATEN JAYAWIJAYA,-4.0004481,138.7995122
KABUPATEN JAYAPURA,-2.533,140.717
KABUPATEN NABIRE,-3.5095462,135.7520985
KABUPATEN KEPULAUAN YAPEN,-1.7469359,136.1709012
KABUPATEN BIAK NUMFOR,-1.0381022,135.9800848
KABUPATEN PANIAI,-3.7876441,136.3624686
KABUPATEN PUNCAK JAYA,-4.0836111,137.1847222
KABUPATEN MIMIKA,-4.4553223,137.1362125
KABUPATEN BOVEN DIGOEL,-5.7400018,140.3481835
KABUPATEN MAPPI,-7.102232,139.396393
KABUPATEN ASMAT,-5.0573958,138.3988186
KABUPATEN YAHUKIMO,-4.4939717,139.5279996
KABUPATEN PEGUNUNGAN BINTANG,-4.5589872,140.5135589
KABUPATEN TOLIKARA,-3.481132,138.4787258
KABUPATEN SARMI,-1.868727,138.743607
KABUPATEN KEEROM,-3.3449536,140.7624493
KABUPATEN WAROPEN,-2.8435717,136.670534
KABUPATEN SUPIORI,-0.7295099,135.6385125
KABUPATEN MAMBERAMO RAYA,-2.5331255,137.7637565
KABUPATEN NDUGA,-4.4069496,138.2393528
KABUPATEN LANNY JAYA,-3.971033,138.3190276
KABUPATEN MAMBERAMO TENGAH,-2.3746,138.319
KABUPATEN YALIMO,-3.7852847,139.4466005
KABUPATEN PUNCAK,-4.0836111,137.1847222
KABUPATEN DOGIYAI,-4.0193872,135.9610446
KABUPATEN INTAN JAYA,-3.5076422,136.7478493
KABUPATEN DEIYAI,-4.0974893,136.4393054
KOTA JAYAPURA,-2.533,140.717
